review_id,review_text,normalized_review_text,star_rating,weak_sentiment,business_category,platform,business_name,date,language,franco_token_ratio,is_franco_arabic,is_multilingual,contains_emoji,token_count,char_count
1,Incroyablement grand avec des belles boutiques et 8 étages complet . J'ai passé la journée là bas tout est propre même les toilettes,Incroyablement grand avec des belles boutiques et 8 étages complet . J'ai passé la journée là bas tout est propre même les toilettes,5.0,positive,مركز تسوق,google_maps,مول سيتي ستارز.,قبل 7 ساعات,fr,0.0,True,True,False,25,132
2,زحمه جدا,زحمه جدا,5.0,positive,مركز تسوق,google_maps,مول سيتي ستارز.,قبل 12 ساعة,fa,0.0,False,True,False,2,8
3,حلو فخم كشخة محترم ورايق ينفع للعوائل الخليجية خصوصا انه اه مدخل للمول واو,حلو فخم كشخة محترم ورايق ينفع للعوائل الخليجية خصوصا انه اه مدخل للمول واو,5.0,positive,مركز تسوق,google_maps,مول سيتي ستارز.,قبل يوم واحد,ar,0.0,False,False,False,14,74
4,طبعا غني عن التعريف بتاع البشوات,طبعا غني عن التعريف بتاع البشوات,5.0,positive,مركز تسوق,google_maps,مول سيتي ستارز.,قبل يوم واحد,ar,0.0,False,False,False,6,32
5,Centro commerciale al Cairo . . . Molto grande e bello,Centro commerciale al Cairo . . . Molto grande e bello,5.0,positive,مركز تسوق,google_maps,مول سيتي ستارز.,قبل يومين (2),it,0.0,False,True,False,8,54
6,Nice,Nice,5.0,positive,مركز تسوق,google_maps,مول سيتي ستارز.,قبل يومين (2),cs,0.0,False,True,False,1,4
7,Very nice shopping but expensive .,Very nice shopping but expensive .,5.0,positive,مركز تسوق,google_maps,كايرو فستيفال سيتي مول,قبل 4 ساعات,en,0.0,False,False,False,5,34
8,روعة جدا ولم اتوقع ان اجد مولا في مصر مثل هذا ، بصراحة اروع من مولات في السعودية .,روعة جدا ولم اتوقع ان اجد مولا في مصر مثل هذا ، بصراحة اروع من مولات في السعودية .,5.0,positive,مركز تسوق,google_maps,كايرو فستيفال سيتي مول,قبل 20 ساعة,ar,0.0,False,False,False,18,82
9,ممتاز,ممتاز,5.0,positive,مركز تسوق,google_maps,كايرو فستيفال سيتي مول,قبل 21 ساعة,ur,0.0,False,True,False,1,5
10,المكان جميل انبسطنا فيه,المكان جميل انبسطنا فيه,5.0,positive,مركز تسوق,google_maps,كايرو فستيفال سيتي مول,قبل 23 ساعة,ar,0.0,False,False,False,4,23
11,مكن ممتاز لتسوق و لقضاء يوم مع الاولاد,مكن ممتاز لتسوق و لقضاء يوم مع الاولاد,4.0,positive,مركز تسوق,google_maps,كايرو فستيفال سيتي مول,قبل يوم واحد,ar,0.0,False,False,False,8,38
12,"This is our favorite family shopping spot in Cairo , where you’ll find numerous shops and a fantastic food court . Carrefour and Ikea make it a perfect shopping destination for families . Plus , there's plenty of parking available for your convenience .","This is our favorite family shopping spot in Cairo , where you’ll find numerous shops and a fantastic food court . Carrefour and Ikea make it a perfect shopping destination for families . Plus , there's plenty of parking available for your convenience .",5.0,positive,مركز تسوق,google_maps,كايرو فستيفال سيتي مول,قبل يوم واحد,en,0.0,False,False,False,41,253
13,One star should be generous ! The security think themselves angles protecting Jahnan ! Super rude No ramps for Handicapped or families with baby strollers ! ! ! ! ! No change tables in the washrooms They blocked the food court so you can’t bring a stroller in ! ! ! So many weird stuff resulted from poor planning and managmen,One star should be generous ! The security think themselves angles protecting Jahnan ! Super rude No ramps for Handicapped or families with baby strollers ! ! ! ! ! No change tables in the washrooms They blocked the food court so you can’t bring a stroller in ! ! ! So many weird stuff resulted from poor planning and managmen,1.0,negative,مركز تسوق,google_maps,كايرو فستيفال سيتي مول,قبل يوم واحد,en,0.0,False,False,False,52,326
14,جيد جدا,جيد جدا,5.0,positive,مركز تسوق,google_maps,كايرو فستيفال سيتي مول,تاريخ التعديل: قبل يوم واحد,ar,0.0,False,False,False,2,7
15,مول مميز,مول مميز,5.0,positive,مركز تسوق,google_maps,كايرو فستيفال سيتي مول,تاريخ التعديل: قبل يوم واحد,ar,0.0,False,False,False,2,8
17,مكان تحفه واكل جميل,مكان تحفه واكل جميل,5.0,positive,مطعم مأكولات مصرية,google_maps,مطعم صبحي كابر,قبل 9 ساعات,ar,0.0,False,False,False,4,19
18,مطعم صبحي كابر من المطاعم الشهيرة في مصر ويتميز بالطعم المصري الاصيل,مطعم صبحي كابر من المطاعم الشهيرة في مصر ويتميز بالطعم المصري الاصيل,5.0,positive,مطعم مأكولات مصرية,google_maps,مطعم صبحي كابر,قبل 11 ساعة,ar,0.0,False,False,False,12,68
20,Cibo di ottima qualità rispetto quello che c’è in giro a sharm . Servizio ottimo grazie ad Ali ( cameriere bravo ),Cibo di ottima qualità rispetto quello che c’è in giro a sharm . Servizio ottimo grazie ad Ali ( cameriere bravo ),5.0,positive,مطعم مأكولات مصرية,google_maps,مطعم صبحي كابر,قبل يوم واحد,it,0.0,False,True,False,19,114
22,الاكل نازل بارد والرز كان فيه شعره الاستيك ناشف جدا بجد تجربه وحشه جدا فصيام اول واخر مره فرع الشيخ زايد,الاكل نازل بارد والرز كان فيه شعره الاستيك ناشف جدا بجد تجربه وحشه جدا فصيام اول واخر مره فرع الشيخ زايد,1.0,negative,مطعم مأكولات مصرية,google_maps,مطعم صبحي كابر,قبل 3 أيام,ar,0.0,False,False,False,21,104
27,Give them a small tip and they’ll treat you like a prince ! Stayed a couple days in Cairo before eating here and was struggling with the food in Egypt until we found this place we constantly went back,Give them a small tip and they’ll treat you like a prince ! Stayed a couple days in Cairo before eating here and was struggling with the food in Egypt until we found this place we constantly went back,5.0,positive,مطعم مأكولات مصرية,google_maps,مطعم صبحي كابر,قبل 5 أيام,en,0.0,False,False,False,39,200
