review_id,text,true_aspects,predicted_aspects,missing_aspects,extra_aspects,true_aspect_sentiments,predicted_aspect_sentiments,sentiment_errors,confidence
8612,التطبيق جميل .. أتمنى إضافة البحث عن طريق الخريطة وتكون جميع العروض ظاهرة بالخريطة مثل موقع بوكينق .. وشكرا,"[""app_experience""]","[""app_experience""]",[],[],"{""app_experience"": ""neutral""}","{""app_experience"": ""positive""}","{""app_experience"": {""true"": ""neutral"", ""predicted"": ""positive""}}",0.592313
6729,سراقين مكتوب وصلت السياره والسواق مارضى يقول وين ولمى الرحله من عنده وحطو لي 10 ريال ادفعها حسبي الله ونعم الوكيل فيه,"[""service"", ""delivery"", ""price""]","[""service"", ""price""]","[""delivery""]",[],"{""service"": ""negative"", ""delivery"": ""negative"", ""price"": ""negative""}","{""service"": ""negative"", ""price"": ""negative""}",{},0.600976
6292,سي جيدا,"[""general""]","[""general""]",[],[],"{""general"": ""negative""}","{""general"": ""positive""}","{""general"": {""true"": ""negative"", ""predicted"": ""positive""}}",0.813155
7814,نصيحه متشتريش منتج وتكون دافع مسبقا بفيزا هيحصل حاجه من الاتنين المندوب هيعمل انه سلمها او التاجر هيلغب لو السعر اتغير وفي الحالتين الفلوس هترجعلك بعد خمس ايام,"[""delivery"", ""service"", ""app_experience"", ""price""]","[""price""]","[""app_experience"", ""delivery"", ""service""]",[],"{""delivery"": ""negative"", ""service"": ""negative"", ""app_experience"": ""negative"", ""price"": ""negative""}","{""price"": ""negative""}",{},0.817771
7619,تم اضافة مصاريف شحن على طلب إكسبريس,"[""delivery"", ""price""]","[""app_experience""]","[""delivery"", ""price""]","[""app_experience""]","{""delivery"": ""negative"", ""price"": ""negative""}","{""app_experience"": ""negative""}",{},0.736589
10016,التطبيق غير موثوق بالمرة تعرضت فيه لعملية نصب و دفعت ثمن حجز ٤ ايام و الغرفة اللي استلمتها غير مطابقة للصور ابدا الغرفة كانت غير صالحة للسكن البشري شي بيشبه الزريبة و لا يوجود طريقة لالغاء الحجز مع استرداد كامل المبلغ و لما تواصلت مع التطبيق بعد اسبوعين اخد و رد بالاخير بيبعتولي ايميل بقولو فيه اذا صاحب الغرفة ما وافق على ارجاع المبلغ ما منقدر نرجعلك شي يعني حقك غير محفوظ اذا صاحب الغرفة كان نصاب,"[""app_experience"", ""service"", ""cleanliness"", ""price""]","[""app_experience"", ""service"", ""price""]","[""cleanliness""]",[],"{""app_experience"": ""negative"", ""service"": ""negative"", ""cleanliness"": ""negative"", ""price"": ""negative""}","{""app_experience"": ""negative"", ""service"": ""negative"", ""price"": ""negative""}",{},0.596898
3871,"برجاء الإشراف والمتابعة لجميع مستشفيات الحكوميه من المسؤولين.
الوقايه خير من العلاج لو يوجد وقايه ولا علاج","[""service""]","[""none""]","[""service""]","[""none""]","{""service"": ""negative""}","{""none"": ""neutral""}",{},0.05
6255,ابلكيشن كداب لما اطلب أوردر و يتلغى كذا مره مره عشان الفيزا و مرا عشان المطعم مش بيوصل و بعد كده يشيلوا المطعم خالص,"[""app_experience"", ""delivery"", ""service""]","[""app_experience"", ""delivery""]","[""service""]",[],"{""app_experience"": ""negative"", ""delivery"": ""negative"", ""service"": ""negative""}","{""app_experience"": ""negative"", ""delivery"": ""negative""}",{},0.501108
9442,هو تطبيق ممتاز بس لحد دلوقتي محجزتش من عليه بس هل دا ثقه ومعتمد,"[""app_experience""]","[""app_experience""]",[],[],"{""app_experience"": ""neutral""}","{""app_experience"": ""positive""}","{""app_experience"": {""true"": ""neutral"", ""predicted"": ""positive""}}",0.344999
5812,خدمة سيئة عملوا احتفال راس السنة 2026 الفرد ب1000 جنيه شامل وجبه العشاء اخذوا الفلوس وجلسنا ننتظر الوجبه ساعة ونص ولا احد عبرنا اقسم بالله تجربة سيئة ماتتكرر,"[""service"", ""food"", ""price""]","[""service"", ""price""]","[""food""]",[],"{""service"": ""negative"", ""food"": ""negative"", ""price"": ""negative""}","{""service"": ""negative"", ""price"": ""negative""}",{},0.586835
329,هعتبر ان المره دي متحسبتش علشان رمضان وهجرب بعد رمضان,"[""general""]","[""none""]","[""general""]","[""none""]","{""general"": ""neutral""}","{""none"": ""neutral""}",{},0.050039
5126,الاسعار فوق المتوسطه بس الاجواء جميله والخدمة ممتازه,"[""price"", ""ambiance"", ""service""]","[""service"", ""ambiance"", ""food""]","[""price""]","[""food""]","{""price"": ""negative"", ""ambiance"": ""positive"", ""service"": ""positive""}","{""service"": ""positive"", ""ambiance"": ""positive"", ""food"": ""positive""}",{},0.565467
5365,المفروض يستغنى عن الملاعق الحديد بااعواد من خشب أفضل مثل الكافهات الكبيره لان رمسيس هيلتون من أفضل الفنادق وسط البلد المطله على النيل,"[""service"", ""ambiance""]","[""none""]","[""ambiance"", ""service""]","[""none""]","{""service"": ""negative"", ""ambiance"": ""positive""}","{""none"": ""neutral""}",{},0.05
9643,الأسعار تتغير داخل التطبيق,"[""price"", ""app_experience""]","[""app_experience""]","[""price""]",[],"{""price"": ""negative"", ""app_experience"": ""negative""}","{""app_experience"": ""negative""}",{},0.473781
