review_id,review_text,predicted_aspects,predicted_sentiments,confidence_score,star_rating,business_category,platform,weak_sentiment,weak_signal_alignment,pseudo_label_source,aspects,aspect_sentiments
1,Incroyablement grand avec des belles boutiques et 8 étages complet . J'ai passé la journée là bas tout est propre même les toilettes,"[""cleanliness"", ""ambiance"", ""service"", ""price"", ""food""]","{""cleanliness"": ""positive"", ""ambiance"": ""positive"", ""service"": ""positive"", ""price"": ""positive"", ""food"": ""positive""}",0.758018,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""cleanliness"", ""ambiance"", ""service"", ""price"", ""food""]","{""cleanliness"": ""positive"", ""ambiance"": ""positive"", ""service"": ""positive"", ""price"": ""positive"", ""food"": ""positive""}"
6,Nice,"[""general""]","{""general"": ""positive""}",0.95512,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
9,ممتاز,"[""general""]","{""general"": ""positive""}",0.95213,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
14,جيد جدا,"[""general""]","{""general"": ""positive""}",0.931645,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
15,مول مميز,"[""general""]","{""general"": ""positive""}",0.945401,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
22,الاكل نازل بارد والرز كان فيه شعره الاستيك ناشف جدا بجد تجربه وحشه جدا فصيام اول واخر مره فرع الشيخ زايد,"[""food""]","{""food"": ""positive""}",0.775345,1.0,مطعم مأكولات مصرية,google_maps,negative,contradictory,model_high_confidence,"[""food""]","{""food"": ""positive""}"
27,Give them a small tip and they’ll treat you like a prince ! Stayed a couple days in Cairo before eating here and was struggling with the food in Egypt until we found this place we constantly went back,"[""food""]","{""food"": ""positive""}",0.761307,5.0,مطعم مأكولات مصرية,google_maps,positive,aligned,model_high_confidence,"[""food""]","{""food"": ""positive""}"
30,I like it,"[""general""]","{""general"": ""positive""}",0.944275,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
33,Everything there,"[""general""]","{""general"": ""positive""}",0.951405,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
36,رائع,"[""general""]","{""general"": ""positive""}",0.944384,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
39,جميل,"[""general""]","{""general"": ""positive""}",0.925672,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
42,رائعه,"[""general""]","{""general"": ""positive""}",0.76113,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
44,جميل وفي كل الخدمات,"[""service"", ""ambiance""]","{""service"": ""positive"", ""ambiance"": ""positive""}",0.759506,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""service"", ""ambiance""]","{""service"": ""positive"", ""ambiance"": ""positive""}"
45,Wonderful,"[""general""]","{""general"": ""positive""}",0.951059,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
46,Best Shopping Mall in Egypt,"[""general""]","{""general"": ""positive""}",0.844696,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
47,Amazing mall .,"[""general""]","{""general"": ""positive""}",0.912106,5.0,مركز تسوق,google_maps,positive,aligned,model_high_confidence,"[""general""]","{""general"": ""positive""}"
