review_id,review_text,star_rating,business_category,platform,predicted_labels,confidence_score,uncertainty_reason,suggested_manual_review_priority,priority_score,weak_sentiment,weak_signal_alignment,is_multilingual,is_franco_arabic,contains_emoji
5334,غالي بس نضيف,5.0,متجر ملابس رياضية,google_maps,food:negative | price:neutral,0.134795,low_confidence; mixed_sentiment; multiple_aspects; short_meaningful; star_rating_text_contradiction; high_aspect_uncertainty,high,17.5,positive,contradictory,False,False,False
3163,"I used to go to this gym before Coronavirus hit , it was always clean , there was towels everywhere you can use while training so no machine had sweat from other people , there was also towels to use while showering . Although Jacuzzi was not clean , It was never clean at all . People should shower after working out and before going to the Jacuzzi but unfortunately very few who did that . And when I complained about it , they said there’s nothing to do . But could’ve at least changed the water of Jacuzzi everyday at least . I also didn’t like the way they overpriced personal trainers , I remember it used to cost as much as a full year membership in the gym . Although people themselves were nice , polite and friendly . Same as coaches as well . I also didn’t like the loud music they used 24x7 . Sometimes a complete silence is good or low volume . Everyone brings their own headphones anyway so I don’t see why it’s an issue . Parking there is hard too",4.0,صالة رياضة,google_maps,cleanliness:negative | ambiance:negative | service:negative | food:negative | price:neutral,0.469061,medium_confidence; mixed_sentiment; multiple_aspects; franco_arabic; star_rating_text_contradiction; high_aspect_uncertainty,high,16.5,positive,contradictory,False,True,False
1348,"I went to this branch more than 20 years ago , it was very lively and friendly . As I walked in this time the guy kept insisting that we have to eat or we can't be seated . It was not a warm welcome at all . There was a football match that night which we didn't care about but he kept directing us where to sit which also wasn't accommodating . The food was the only good thing , the service was very slow considering there were only 4 other tables . The quality of this place has gone significantly down it's a shame to see it in this state .",3.0,مطعم مأكولات لبنانية,google_maps,ambiance:neutral | food:positive | price:positive | service:positive | cleanliness:neutral,0.528105,medium_confidence; mixed_sentiment; multiple_aspects; franco_arabic; star_rating_text_contradiction; high_aspect_uncertainty,high,16.5,neutral,contradictory,False,True,False
3170,"Very disappointing experience with this place . The entire staff including the agents and the manager at reception are extremely unprofessional and irresponsible . They constantly repeat the phrase “It’s not our fault” instead of taking accountability , which is completely unacceptable for a service - oriented business . They lack attention to detail and customer care , and it’s clear they need serious training in professionalism and communication . I also had a serious issue where I lost two weeks of my paid subscription due to a system error and the staff’s lack of responsibility . Even after following up and escalating several times , they only offered me 2–3 invitations and then just one week , while my actual right was 18 full days ( 2 weeks as per their system ) . This is completely unfair and unprofessional . I’m taking this matter to حماية المستهلك ( Consumer Protection ) , and I’ll make sure my experience is shared everywhere so others are aware of how poorly customers are treated here . Smart Gym is losing customers because of this management and attitude , and if things don’t change soon , it will definitely harm their reputation and success over time . اسوا تجربة ممكن تتخيلوها ! EMO_NEG الموظفين ومدير الاستقبال مش مسؤولين خالص ، وكل شوية يقولوا ""مش غلطتنا"" كانها شماعة ! بسبب اهمالهم خسرت اسبوعين من اشتراكي المدفوع ، وبعد تصعيد ومتابعة طويلة عرضوا عليا اسبوع واحد بس ! بصراحة مكان غير محترف ، وهقدم شكوي لحماية المستهلك وهشارك التجربة دي علشان الناس تعرف تتجنبهم .",1.0,صالة رياضة,google_maps,service:positive | general:negative | app_experience:negative,0.05,low_confidence; mixed_sentiment; multiple_aspects; multilingual; franco_arabic; emoji_sentiment_edge_case,high,16.0,negative,ambiguous,True,True,True
1045,مكان لذيذ والناس لذيذه ان شاء الله مش اخر مره EMO_POS EMO_POS,5.0,كافيه,google_maps,food:positive | ambiance:positive | service:positive | general:positive,0.05,low_confidence; mixed_sentiment; multiple_aspects; multilingual; high_aspect_uncertainty; emoji_sentiment_edge_case,high,15.5,positive,aligned,True,False,True
3927,انا كنت طالب اوردر قعد سعتين وفي الاخر موصلش والكول سينتر بيتعامل باسلوب وحش جدا وحقيقي انا ندمان اني فضلت مستني اكل لمده سعتين وفي الاخر موصلش ولاغيت الاوردر عشان الاسلوب بتاعكم الاكل حلو اه جميل لكن المعامله وحشه جدا ودي اخر مره اطلب من عندكم حقيقي كنت بطلب من ٢٠١٧ بس خلاص شكرا جدا,1.0,مطعم بيتزا,google_maps,food:positive | ambiance:positive | service:positive | price:positive | cleanliness:positive | delivery:positive,0.134662,low_confidence; mixed_sentiment; multiple_aspects; star_rating_text_contradiction; high_aspect_uncertainty,high,15.5,negative,contradictory,False,False,False
3986,انا سعودي الغرفة اللي اخذتها صغيرة مره بس نظيفة الاستقبال الدور الاول فنانين ومحترمين ومحترفين الفطور خورافي توقعت وصخ الامان منتاز فيه 39 دور الانترنت في دور 38 ضعيف بس يمشي الحال السعر بالنسبة للغرفة مناسب حولك ماك و كنتاكي وبرجر كنج اطلاله علي النيل فيه مكيف وسخانة الفيش ثلاثي,3.0,فندق,google_maps,cleanliness:positive | ambiance:neutral | price:neutral | service:positive | food:neutral,0.417757,low_confidence; mixed_sentiment; multiple_aspects; star_rating_text_contradiction; high_aspect_uncertainty,high,15.5,neutral,contradictory,False,False,False
1491,الحمام خطير والنيفه في حته تانية بجد EMO_POS,4.0,مطعم مأكولات مشوية,google_maps,cleanliness:negative | ambiance:positive | service:positive,0.41792,low_confidence; mixed_sentiment; multiple_aspects; multilingual; high_aspect_uncertainty; emoji_sentiment_edge_case,high,15.5,positive,ambiguous,True,False,True
5488,الاجواء رائعة والجو جميل وبيطل علي بحيرة جوا مول دولفين الاكل معجبنيش مكرونة بالصلصلة كان الفلفل الاسود كتير والصلصلة مش حلوة وكتير البانيه مش طازة الاسكالوب بانيه كويس نوعا ما الاكل متقدم بشكل كويس جدا كاتبين الاسعار شاملة الضريبة في المنيو بس هيدفعوك ١٢ % خدمة,3.0,مطعم أطباق اللحوم,google_maps,ambiance:positive | food:neutral | price:positive | cleanliness:positive | service:positive,0.44864,low_confidence; mixed_sentiment; multiple_aspects; star_rating_text_contradiction; high_aspect_uncertainty,high,15.5,neutral,contradictory,False,False,False
9265,صعب بالنسبه لي,5.0,entertainment,play_store,app_experience:negative | general:positive,0.554138,medium_confidence; mixed_sentiment; multiple_aspects; short_meaningful; general_ambiance_app_confusion; high_aspect_uncertainty,high,15.5,positive,ambiguous,False,False,False
5004,التعامل سئ جدا,1.0,صيدلية,google_maps,app_experience:negative | general:positive,0.557081,medium_confidence; mixed_sentiment; multiple_aspects; short_meaningful; general_ambiance_app_confusion; high_aspect_uncertainty,high,15.5,negative,ambiguous,False,False,False
